id,name,html_http,html_https,html_external-js,html_iframes,html_XMLHttpRequests,html_scriptTags,html_POST,html_GET,html_objectTags,html_bodyTags,html_imgTags,html_fromCharCode,html_formTags,html_document.write,html_document.writeIn,html_innerHTML,html_createElement('script'),html_tabs.executeScript(),html_appendChild(),html_%u,html_\x,html_\,html_%,html_!,html_href=javascript,html_ClickJack,html_VBScript,html_CoinHive,js_http,js_https,js_iframes,js_XMLHttpRequests,js_external-js,js_POST,js_GET,js_document.write,js_document.writeIn,js_innerHTML,js_fromCharCode,js_createElement('script'),js_keywords,js_tabs.executeScript(),js_appendChild,js_%u,js_\x,js_\,js_!,js_ClickJack,js_CoinHive,css_background-image,css_behavior,css_@import,permission_<all_urls>,permission_http://*/*,permission_https://*/*,permission_*://*/*,permission_webRequest,permission_webRequestBlocking,permission_tabs,permission_storage,permission_history,permission_cookies,permission_notifications,permission_background,permission_unlimitedStorage,permission_contextMenus,permission_management,permission_activeTab,permission_sessions,permission_identity,permission_webNavigation,permission_downloads,permission_debugger,permission_alarms,permission_scripting,permission_search,permission_fileSystem,permission_fileSystem.write,permission_desktopCapture,isMalicious
434,extension_4_24_6_0,0,0.015576324,0,0,0,0.017013233,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0.000567123,0.000408497,0,0,0,0,0.020969337,0.055790534,0,0.05,0.143442623,0,0.002735978,0,0,0.010582011,0.095238095,0.005226481,0.06343564,0.028571429,0.015361744,0,0.000503571,0.075367233,0.071364278,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,extension_0_99_15_0,0.006,0.093457944,0,0,0,0.073724008,0,0,0,0.145833333,0.075040783,0,0,0,0,0,0,0,0,0.5,0,0,0.001296281,0.006263617,0,0,0,0,0.000791296,0.008862034,0,0.02,0.008196721,0.003232759,0.006839945,0,0,0.015873016,0.005807201,0.003484321,0.002379848,0.2,0.021308226,0.01048951,7.52E-05,0.000207173,0.008312127,0,0,0.016879672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
436,extension_5_3_1_0,0,0,0,0,0,0.007561437,0.25,0,0,0.041666667,0.001631321,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063897132,0.008056395,0,0.005,0.004098361,0,0.002735978,0,0,0.014109347,0,0,0.002078601,0,0,0,0,4.09E-05,0.001089022,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,extension_3_1_7_10858,0,0,0,0,0,0.005671078,0,0,0,0.020833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000136166,0,0,0,0,0.004549951,0.046928499,0,0.03,0.008196721,0.003232759,0.009575923,0,0,0.051146384,0.009291521,0.006968641,0.010523833,0.028571429,0.021308226,0,0.000295197,0.000840096,0.023975153,0,0,0.000482276,0,0.125,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
438,extension_2_2_6_0,0,0.018691589,0,0,0,0.011342155,0,0,0,0.125,0.004893964,0,0.026666667,0,0,0,0,0,0,0,0,0,0.000405088,0.003948802,0,0,0,0,0.016419387,0.004229607,0,0.035,0.016393443,0.010775862,0.016415869,0.013513514,0,0.014109347,0.030197445,0.008710801,0.015152702,0.085714286,0.040634291,0,9.84E-05,0.000423849,0.028003423,0,0,0.033518206,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
439,extension_6_2_0_0,0,0,0,0,0,0.003780718,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000272331,0,0,0,0,0.002571711,0.002014099,0,0.0075,0,0.002155172,0,0,0,0.012345679,0.005807201,0,0.001240275,0.085714286,0.002477701,0,0,0.000187216,0.007712054,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
440,Download35-Vir-Extension,0.512,0.00623053,0.239130435,0,0,0.034026465,0,0,0,0.020833333,0.04730832,0,0.026666667,0,0,0,0,0,0,0,0,0,0.03248805,0.015522876,0,0,0,0,0.000791296,0.001007049,0,0,0.008196721,0,0,0.013513514,0,0,0.00232288,0.005226481,5.77E-05,0,0.00049554,0,0,9.98E-06,0.000122237,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
441,extension_6_6_38_0,0.002,0.127725857,0,0.1,0,0.073724008,0,0,0.029411765,0.395833333,0.009787928,0,0,0,0,0,0,0,0,0,0,0.005328597,0.006724459,0.006399782,0,0,0,0,0.405934718,1,0.020408163,0.4175,0.323770492,0.104525862,0.125854993,0.013513514,0,1,0.321718931,0.209059233,0.230055111,0.485714286,0.450445986,0.01048951,0.031649746,0.09889229,0.46030626,0,0,0.03303593,0.015625,0.291666667,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
442,extension_5_0_1_3,0.026,0.049844237,0,0,0,0.011342155,0,0,0,0.041666667,0.004893964,0,0,0,0,0,0,0,0,0,0,0,0.001539334,0.003676471,0,0,0,0,0.000197824,0.002416918,0,0,0.012295082,0,0,0,0,0.008818342,0,0.003484321,0.001298803,0,0.006442022,0,0,8.08E-06,0.002666993,0,0,0.062695925,0.015625,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,extension_3_0_3_0,0,0.003115265,0,0,0,0.001890359,0,0,0,0.020833333,0.001631321,0,0,0,0,0,0,0,0,0,0,0,0,0.000136166,0,0,0,0,0,0.001208459,0,0,0.004098361,0,0,0,0,0.003527337,0,0,1.89E-05,0,0,0,0,0,1.67E-05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
